OrderID,Product,Store,Quantity,Price,OrderDate
ORD41000,Smartphone,Yaba,2,234699,2026-01-26
ORD41001,Smartwatch,Yaba,4,209222,2026-01-28
ORD41002,Camera,Lekki,4,134363,2026-01-24
ORD41003,Smartphone,Lekki,5,308613,2026-01-22
ORD41004,Tablet,Victoria Island,4,221456,2026-01-24
ORD41005,Camera,Yaba,5,407204,2026-01-28
ORD41006,Camera,Victoria Island,3,338867,2026-01-27
ORD41007,Laptop,Victoria Island,5,216242,2026-01-24
ORD41008,Camera,Victoria Island,1,314246,2026-01-26
ORD41009,Smartwatch,Victoria Island,5,467339,2026-01-27
ORD41010,Headphones,Victoria Island,5,201486,2026-01-27
ORD41011,Tablet,Victoria Island,2,454150,2026-01-24
ORD41012,Smartphone,Yaba,1,167714,2026-01-26
ORD41013,Smartphone,Ikeja,1,368866,2026-01-27
ORD41014,Laptop,Yaba,4,360701,2026-01-25
ORD41015,Laptop,Ikeja,1,418820,2026-01-22
ORD41016,Tablet,Ikeja,2,384745,2026-01-24
ORD41017,Tablet,Victoria Island,3,334149,2026-01-26
ORD41018,Smartphone,Yaba,3,79329,2026-01-27
ORD41019,Camera,Lekki,5,306915,2026-01-28
ORD41020,Laptop,Yaba,3,381580,2026-01-26
ORD41021,Camera,Victoria Island,4,394769,2026-01-22
ORD41022,Camera,Lekki,3,354130,2026-01-24
ORD41023,Tablet,Yaba,3,408206,2026-01-26
ORD41024,Smartphone,Ikeja,1,189628,2026-01-28
ORD41025,Smartwatch,Victoria Island,5,263791,2026-01-25
ORD41026,Smartwatch,Victoria Island,2,452072,2026-01-25
ORD41027,Tablet,Ikeja,1,296263,2026-01-22
ORD41028,Laptop,Victoria Island,1,461082,2026-01-28
ORD41029,Laptop,Lekki,2,238849,2026-01-24
ORD41030,Smartphone,Ikeja,1,387685,2026-01-28
ORD41031,Camera,Lekki,5,319606,2026-01-24
ORD41032,Tablet,Lekki,2,234127,2026-01-25
ORD41033,Camera,Ikeja,2,292232,2026-01-22
ORD41034,Smartwatch,Lekki,1,202033,2026-01-28
ORD41035,Smartwatch,Lekki,2,323830,2026-01-28
ORD41036,Tablet,Ikeja,5,369854,2026-01-27
ORD41037,Tablet,Victoria Island,1,232204,2026-01-27
ORD41038,Headphones,Ikeja,3,200025,2026-01-23
ORD41039,Camera,Yaba,4,447810,2026-01-22
ORD41040,Tablet,Lekki,5,235779,2026-01-24
ORD41041,Smartwatch,Yaba,2,413359,2026-01-25
ORD41042,Headphones,Yaba,4,198151,2026-01-28
ORD41043,Smartphone,Lekki,2,94179,2026-01-25
ORD41044,Smartphone,Ikeja,4,442191,2026-01-26
ORD41045,Headphones,Ikeja,3,473141,2026-01-25
ORD41046,Headphones,Victoria Island,2,271226,2026-01-22
ORD41047,Headphones,Lekki,4,449022,2026-01-26
ORD41048,Laptop,Ikeja,5,244449,2026-01-22
ORD41049,Headphones,Ikeja,3,470897,2026-01-22
ORD41050,Camera,Victoria Island,5,216437,2026-01-22
ORD41051,Smartwatch,Lekki,3,193038,2026-01-27
ORD41052,Laptop,Victoria Island,2,237342,2026-01-27
ORD41053,Camera,Lekki,4,366946,2026-01-24
ORD41054,Headphones,Ikeja,4,154646,2026-01-27
ORD41055,Camera,Lekki,3,213905,2026-01-24
ORD41056,Tablet,Lekki,2,435681,2026-01-24
ORD41057,Headphones,Lekki,4,413670,2026-01-28
ORD41058,Smartwatch,Ikeja,1,206420,2026-01-25
ORD41059,Smartphone,Lekki,4,218652,2026-01-23
ORD41060,Camera,Ikeja,4,288381,2026-01-22
ORD41061,Headphones,Victoria Island,5,261281,2026-01-27
ORD41062,Laptop,Yaba,1,65575,2026-01-24
ORD41063,Smartwatch,Ikeja,2,209533,2026-01-28
ORD41064,Smartphone,Ikeja,2,53993,2026-01-24
ORD41065,Smartwatch,Victoria Island,5,296148,2026-01-28
ORD41066,Headphones,Lekki,5,328546,2026-01-28
ORD41067,Headphones,Ikeja,5,250937,2026-01-23
ORD41068,Camera,Ikeja,3,340433,2026-01-28
ORD41069,Smartphone,Victoria Island,1,69280,2026-01-22
ORD41070,Camera,Lekki,4,491034,2026-01-25
ORD41071,Laptop,Lekki,3,421686,2026-01-26
ORD41072,Tablet,Lekki,1,298991,2026-01-25
ORD41073,Tablet,Victoria Island,4,117197,2026-01-28
ORD41074,Camera,Ikeja,3,290226,2026-01-28
ORD41075,Laptop,Yaba,1,124522,2026-01-25
ORD41076,Laptop,Yaba,5,56393,2026-01-27
ORD41077,Tablet,Yaba,5,142510,2026-01-28
ORD41078,Tablet,Lekki,3,248916,2026-01-23
ORD41079,Laptop,Yaba,4,53626,2026-01-28
ORD41080,Headphones,Victoria Island,4,286168,2026-01-26
ORD41081,Laptop,Victoria Island,4,452947,2026-01-24
ORD41082,Laptop,Ikeja,5,163698,2026-01-27
ORD41083,Headphones,Lekki,1,235976,2026-01-28
ORD41084,Laptop,Yaba,5,110935,2026-01-22
ORD41085,Headphones,Ikeja,3,194717,2026-01-25
ORD41086,Laptop,Ikeja,1,244592,2026-01-24
ORD41087,Camera,Lekki,3,350922,2026-01-28
ORD41088,Camera,Lekki,1,51945,2026-01-28
ORD41089,Tablet,Victoria Island,3,499227,2026-01-22
ORD41090,Camera,Yaba,3,141236,2026-01-28
ORD41091,Smartwatch,Victoria Island,4,435858,2026-01-22
ORD41092,Camera,Lekki,2,293112,2026-01-24
ORD41093,Laptop,Yaba,1,234691,2026-01-25
ORD41094,Camera,Ikeja,4,212472,2026-01-23
ORD41095,Headphones,Yaba,1,276603,2026-01-22
ORD41096,Smartwatch,Victoria Island,1,370492,2026-01-22
ORD41097,Headphones,Lekki,4,98044,2026-01-26
ORD41098,Camera,Victoria Island,4,250976,2026-01-28
ORD41099,Tablet,Yaba,5,415651,2026-01-23
ORD41100,Laptop,Victoria Island,4,179622,2026-01-26
ORD41101,Headphones,Victoria Island,5,194343,2026-01-25
ORD41102,Smartwatch,Yaba,1,94532,2026-01-23
ORD41103,Smartwatch,Lekki,3,346859,2026-01-25
ORD41104,Smartwatch,Lekki,2,166692,2026-01-28
ORD41105,Laptop,Victoria Island,4,245772,2026-01-25
ORD41106,Camera,Lekki,4,212957,2026-01-28
ORD41107,Laptop,Yaba,5,246837,2026-01-23
ORD41108,Laptop,Yaba,5,226655,2026-01-22
ORD41109,Tablet,Ikeja,4,361825,2026-01-27
ORD41110,Laptop,Yaba,1,306275,2026-01-27
ORD41111,Smartwatch,Yaba,4,66967,2026-01-23
ORD41112,Tablet,Lekki,5,266162,2026-01-24
ORD41113,Camera,Victoria Island,3,424783,2026-01-25
ORD41114,Laptop,Lekki,5,281126,2026-01-26
ORD41115,Smartwatch,Yaba,4,147698,2026-01-26
ORD41116,Smartphone,Yaba,3,247789,2026-01-28
ORD41117,Laptop,Victoria Island,5,160265,2026-01-27
ORD41118,Laptop,Ikeja,2,122751,2026-01-25
ORD41119,Smartphone,Lekki,5,316815,2026-01-26
ORD41120,Headphones,Yaba,1,322777,2026-01-26
ORD41121,Camera,Victoria Island,4,372434,2026-01-22
ORD41122,Smartphone,Yaba,1,93073,2026-01-25
ORD41123,Camera,Yaba,2,204245,2026-01-26
ORD41124,Tablet,Victoria Island,2,173124,2026-01-24
ORD41125,Smartphone,Lekki,4,305254,2026-01-22
ORD41126,Smartphone,Lekki,5,479462,2026-01-22
ORD41127,Smartwatch,Yaba,3,258899,2026-01-28
ORD41128,Camera,Yaba,5,130523,2026-01-26
ORD41129,Headphones,Victoria Island,4,460691,2026-01-27
ORD41130,Smartwatch,Victoria Island,1,209939,2026-01-26
ORD41131,Laptop,Yaba,1,377451,2026-01-26
